pointid,name,type,amount,itemtype,rarity
51,smg_accurate_t8_operator_item,itemspawnentry,1,weapon,Legendary
52,cu12_item,itemspawnentry,unknown,quest,None
53,helicopter_light_wz_vehicle_black,itemspawnentry,unknown,vehicle,None
54,cargo_truck_wz_vehicle_tan,itemspawnentry,unknown,vehicle,None
55,suv_wz_vehicle_met_grey,itemspawnentry,unknown,vehicle,None
56,sniper_quickscope_t8_item,itemspawnentry,1,weapon,Common
57,armor_shard_item,itemspawnentry,unknown,armor_shard,None
58,laser_sight_wz_item,itemspawnentry,unknown,attachment,Common
59,ar_galil_t8_item,itemspawnentry,1,weapon,Common
60,sniper_mini14_t8_item,itemspawnentry,1,weapon,Common
61,pistol_grip_wz_item,itemspawnentry,unknown,attachment,Common
62,melee_cutlass_t8_item,itemspawnentry,1,weapon,Common
63,lmg_standard_t8_operator_item,itemspawnentry,1,weapon,Legendary
64,sniper_powerbolt_t8_gold_item,itemspawnentry,1,weapon,Epic
65,flamethrower_wz_item,itemspawnentry,1,weapon,None
66,muscle_car_wz_vehicle_green,itemspawnentry,unknown,vehicle,None
67,shotgun_pump_t8_item,itemspawnentry,1,weapon,Common
68,lmg_standard_t8_gold_item,itemspawnentry,1,weapon,Epic
69,lmg_stealth_t8_operator_item,itemspawnentry,1,weapon,Legendary
70,cu18_item,itemspawnentry,unknown,quest,None
71,muscle_car_wz_vehicle_black,itemspawnentry,unknown,vehicle,None
72,launcher_standard_t8_item,itemspawnentry,1,weapon,Common
73,cu10_item,itemspawnentry,unknown,quest,None
74,perk_item_drifter,itemspawnentry,1,generic,None
75,sniper_powerbolt_t8_wallbuy_item,itemspawnentry,1,weapon,Common
76,ammo_type_12ga_item,itemspawnentry,20,ammo,None
77,melee_club_t8_item,itemspawnentry,1,weapon,Common
78,melee_slaybell_t8_item,itemspawnentry,1,weapon,Common
79,smg_standard_t8_item,itemspawnentry,1,weapon,Common
80,perk_item_looter,itemspawnentry,1,generic,None
81,cu17_item,itemspawnentry,unknown,quest,None
82,cu06_item,itemspawnentry,unknown,quest,None
83,ammo_type_45_double_item,itemspawnentry,100,ammo,None
84,ar_modular_t8_item,itemspawnentry,1,weapon,Common
85,lmg_heavy_t8_gold_item,itemspawnentry,1,weapon,Epic
86,pistol_standard_t8_gold_item,itemspawnentry,1,weapon,Epic
87,smg_folding_t8_wallbuy_item,itemspawnentry,1,weapon,Common
88,smg_handling_t8_item,itemspawnentry,1,weapon,Common
89,sparrow_wz_item,itemspawnentry,1,weapon,None
90,quad_wz_vehicle_tan,itemspawnentry,unknown,vehicle,None
91,ammo_type_rocket_double_item,itemspawnentry,4,ammo,None
92,tr_longburst_t8_operator_item,itemspawnentry,1,weapon,Legendary
93,ray_gun_mk2x_t8_item,itemspawnentry,1,weapon,Common
94,perk_item_deadsilence,itemspawnentry,1,generic,None
95,wz_ball,itemspawnentry,1,weapon,None
96,melee_stopsign_t8_item,itemspawnentry,1,weapon,Common
97,death_of_orion_t8_item,itemspawnentry,1,weapon,Common
98,helicopter_attack_wz_vehicle_heroes,itemspawnentry,unknown,vehicle,None
99,ammo_type_556_item,itemspawnentry,50,ammo,None
100,lmg_heavy_t8_wallbuy_item,itemspawnentry,1,weapon,Common
101,ammo_type_45_item,itemspawnentry,50,ammo,None
102,annihilator_wz_item,itemspawnentry,1,weapon,None
103,stock_wz_item,itemspawnentry,unknown,attachment,Common
104,sniper_fastrechamber_t8_wallbuy_item,itemspawnentry,1,weapon,Common
105,shotgun_semiauto_t8_wallbuy_item,itemspawnentry,1,weapon,Common
106,perk_item_awareness,itemspawnentry,1,generic,None
107,cu14_item,itemspawnentry,unknown,quest,None
108,zodiac_wz_vehicle_odg,itemspawnentry,unknown,vehicle,None
109,hw_event_item_mc,itemspawnentry,unknown,quest,None
110,concertina_wire_wz_item,itemspawnentry,1,equipment,None
111,smg_fastfire_t8_gold_item,itemspawnentry,1,weapon,Epic
112,smg_fastfire_t8_operator_item,itemspawnentry,1,weapon,Legendary
113,ar_galil_t8_wallbuy_item,itemspawnentry,1,weapon,Common
114,shotgun_precision_t8_item,itemspawnentry,1,weapon,Common
115,smg_standard_t8_wallbuy_item,itemspawnentry,1,weapon,Common
116,quad_wz_vehicle_black,itemspawnentry,unknown,vehicle,None
117,pistol_revolver_t8_operator_item,itemspawnentry,1,weapon,Legendary
118,armor_item_medium,itemspawnentry,500,armor,None
119,pbr_wz_vehicle_black,itemspawnentry,unknown,vehicle,None
120,resource_item_loot_locker_key,itemspawnentry,1,resource,None
121,holo_wz_item,itemspawnentry,unknown,attachment,None
122,emp_grenade_wz_item,itemspawnentry,1,equipment,None
123,lmg_stealth_t8_gold_item,itemspawnentry,1,weapon,Epic
124,pistol_standard_t8_item,itemspawnentry,1,weapon,Common
125,cu31_item,itemspawnentry,unknown,quest,None
126,helicopter_light_wz_vehicle_dark,itemspawnentry,unknown,vehicle,None
127,suv_wz_vehicle_black,itemspawnentry,unknown,vehicle,None
128,suppressor_wz_item,itemspawnentry,unknown,attachment,None
129,muscle_car_wz_vehicle_orange,itemspawnentry,unknown,vehicle,None
130,ray_gun_mk2y_t8_item,itemspawnentry,1,weapon,Common
131,quad_wz_vehicle_police,itemspawnentry,unknown,vehicle,None
132,acid_bomb_wz_item,itemspawnentry,1,equipment,None
133,smg_folding_t8_item,itemspawnentry,1,weapon,Common
134,smg_handling_t8_wallbuy_item,itemspawnentry,1,weapon,Common
135,tr_leveraction_t8_item,itemspawnentry,1,weapon,Common
136,sniper_locus_t8_item,itemspawnentry,1,weapon,Common
137,special_crossbow_t8_item,itemspawnentry,1,weapon,Common
138,cluster_semtex_wz_item,itemspawnentry,1,equipment,None
139,ammo_type_rocket_item,itemspawnentry,2,ammo,None
140,smoke_grenade_wz_item,itemspawnentry,1,equipment,None
141,ammo_type_556_double_item,itemspawnentry,100,ammo,None
142,sniper_quickscope_t8_operator_item,itemspawnentry,1,weapon,Legendary
143,unlimited_grapple_wz_item,itemspawnentry,1,equipment,None
144,smg_accurate_t8_gold_item,itemspawnentry,1,weapon,Epic
145,sniper_fastrechamber_t8_gold_item,itemspawnentry,1,weapon,Epic
146,resource_item_paint,itemspawnentry,1,resource,None
147,smg_mp40_t8_item,itemspawnentry,1,weapon,Common
148,shotgun_pump_t8_wallbuy_item,itemspawnentry,1,weapon,Common
149,ar_modular_t8_wallbuy_item,itemspawnentry,1,weapon,Common
150,spectre_grenade_wz_item,itemspawnentry,1,equipment,None
151,ar_fastfire_t8_gold_item,itemspawnentry,1,weapon,Epic
152,zodiac_wz_vehicle_black,itemspawnentry,unknown,vehicle,None
153,wz_waterballoon,itemspawnentry,20,equipment,Common
154,tr_damageburst_t8_item,itemspawnentry,1,weapon,Common
155,ar_accurate_t8_item,itemspawnentry,1,weapon,Common
156,tr_powersemi_t8_wallbuy_item,itemspawnentry,1,weapon,Common
157,cu35_item,itemspawnentry,unknown,quest,None
158,ar_stealth_t8_wallbuy_item,itemspawnentry,1,weapon,Common
159,pistol_revolver_t8_gold_item,itemspawnentry,1,weapon,Epic
160,health_item_large,itemspawnentry,1,health,Common
161,tr_longburst_t8_gold_item,itemspawnentry,1,weapon,Epic
162,cu01_item,itemspawnentry,unknown,quest,None
163,lmg_double_t8_item,itemspawnentry,1,weapon,Common
164,perk_item_medic,itemspawnentry,1,generic,None
165,fav_wz_vehicle_tan,itemspawnentry,unknown,vehicle,None
166,muscle_car_wz_vehicle_white,itemspawnentry,unknown,vehicle,None
167,smg_capacity_t8_item,itemspawnentry,1,weapon,Common
168,health_item_small,itemspawnentry,1,health,Common
169,recon_car_wz_item,itemspawnentry,1,killstreak,None
170,pbr_wz_vehicle_green,itemspawnentry,unknown,vehicle,None
171,perk_item_reinforced,itemspawnentry,1,generic,None
172,cu03_item,itemspawnentry,unknown,quest,None
173,smg_vmp_t8_item,itemspawnentry,1,weapon,Common
174,hw_event_item_kk,itemspawnentry,unknown,quest,None
175,sniper_powersemi_t8_item,itemspawnentry,1,weapon,Common
176,tr_leveraction_t8_wallbuy_item,itemspawnentry,1,weapon,Common
177,homunculus_wz_item,itemspawnentry,1,equipment,None
178,cargo_truck_wz_vehicle_green,itemspawnentry,unknown,vehicle,None
179,helicopter_attack_wz_vehicle_tan,itemspawnentry,unknown,vehicle,None
180,cu29_item,itemspawnentry,unknown,quest,None
181,fav_wz_vehicle_grn,itemspawnentry,unknown,vehicle,None
182,barricade_wz_item,itemspawnentry,1,equipment,None
183,melee_spork_t8_item,itemspawnentry,1,weapon,Common
184,hawk_wz_item,itemspawnentry,1,equipment,None
185,ar_peacekeeper_t8_gold_item,itemspawnentry,1,weapon,Epic
186,muscle_car_wz_vehicle_blue,itemspawnentry,unknown,vehicle,None
187,ammo_type_9mm_double_item,itemspawnentry,100,ammo,None
188,helicopter_attack_wz_vehicle_green,itemspawnentry,unknown,vehicle,None
189,ar_standard_t8_gold_item,itemspawnentry,1,weapon,Epic
190,allistairs_folly_t8_item,itemspawnentry,1,weapon,Common
191,ar_stealth_t8_gold_item,itemspawnentry,1,weapon,Epic
192,melee_bloody_bowie_t8_item,itemspawnentry,1,weapon,Common
193,pistol_burst_t8_gold_item,itemspawnentry,1,weapon,Epic
194,tomahawk_t8_wz_item,itemspawnentry,1,equipment,None
195,cu34_item,itemspawnentry,unknown,quest,None
196,advmag_wz_item,itemspawnentry,unknown,attachment,None
197,ar_accurate_t8_wallbuy_item,itemspawnentry,1,weapon,Common
198,cu04_item,itemspawnentry,unknown,quest,None
199,ar_an94_t8_item,itemspawnentry,1,weapon,Common
200,cu15_item,itemspawnentry,unknown,quest,None
201,tr_midburst_t8_gold_item,itemspawnentry,1,weapon,Epic
202,acog_wz_item,itemspawnentry,unknown,attachment,None
203,muscle_car_wz_vehicle_bandit_black,itemspawnentry,unknown,vehicle,None
204,lmg_heavy_t8_item,itemspawnentry,1,weapon,Common
205,lmg_standard_t8_item,itemspawnentry,1,weapon,Common
206,smg_fastburst_t8_item,itemspawnentry,1,weapon,Common
207,smg_handling_t8_gold_item,itemspawnentry,1,weapon,Epic
208,ammo_type_338_double_item,itemspawnentry,60,ammo,None
209,muscle_car_wz_vehicle_yellow,itemspawnentry,unknown,vehicle,None
210,ultimate_turret_wz_item,itemspawnentry,1,equipment,None
211,tr_midburst_t8_operator_item,itemspawnentry,1,weapon,Legendary
212,smg_fastfire_t8_wallbuy_item,itemspawnentry,1,weapon,Common
213,motorcycle_wz_vehicle_dark_grey,itemspawnentry,unknown,vehicle,None
214,tr_longburst_t8_wallbuy_item,itemspawnentry,1,weapon,Common
215,wraithfire_wz_item,itemspawnentry,1,equipment,None
216,tank_wz_vehicle_black,itemspawnentry,unknown,vehicle,None
217,cu30_item,itemspawnentry,unknown,quest,None
218,shotgun_fullauto_t8_item,itemspawnentry,1,weapon,Common
219,concussion_wz_item,itemspawnentry,1,equipment,None
220,reflex_wz_item,itemspawnentry,unknown,attachment,None
221,ar_modular_t8_gold_item,itemspawnentry,1,weapon,Epic
222,lmg_double_t8_wallbuy_item,itemspawnentry,1,weapon,Common
223,grapple_wz_item,itemspawnentry,5,equipment,None
224,smg_mp40_t8_wallbuy_item,itemspawnentry,1,weapon,Common
225,tank_wz_vehicle_green,itemspawnentry,unknown,vehicle,None
226,lmg_standard_t8_wallbuy_item,itemspawnentry,1,weapon,Common
227,melee_zombiearm_t8_item,itemspawnentry,1,weapon,Common
228,sniper_fastrechamber_t8_item,itemspawnentry,1,weapon,Common
229,suv_wz_vehicle_grey,itemspawnentry,unknown,vehicle,None
230,cu32_item,itemspawnentry,unknown,quest,None
231,sniper_quickscope_t8_gold_item,itemspawnentry,1,weapon,Epic
232,zodiac_wz_vehicle_grey,itemspawnentry,unknown,vehicle,None
233,smg_fastfire_t8_item,itemspawnentry,1,weapon,Common
234,perk_item_brawler,itemspawnentry,1,generic,None
235,ar_damage_t8_wallbuy_item,itemspawnentry,1,weapon,Common
236,perk_item_paranoia,itemspawnentry,1,generic,None
237,shotgun_semiauto_t8_gold_item,itemspawnentry,1,weapon,Epic
238,melee_demohammer_t8_item,itemspawnentry,1,weapon,Common
239,backpack_item,itemspawnentry,1,backpack,None
240,pbr_wz_vehicle_police,itemspawnentry,unknown,vehicle,None
241,tr_flechette_t8_item,itemspawnentry,1,weapon,Common
242,helicopter_light_wz_vehicle_police,itemspawnentry,unknown,vehicle,None
243,suv_wz_vehicle_white,itemspawnentry,unknown,vehicle,None
244,cargo_truck_wz_vehicle_dark,itemspawnentry,unknown,vehicle,None
245,smg_accurate_t8_item,itemspawnentry,1,weapon,Common
246,extmag_wz_item,itemspawnentry,unknown,attachment,None
247,ammo_type_50cal_item,itemspawnentry,30,ammo,None
248,flare_gun_veh_wz_item,itemspawnentry,1,equipment,None
249,cu08_item,itemspawnentry,unknown,quest,None
250,tr_powersemi_t8_operator_item,itemspawnentry,1,weapon,Legendary
251,smg_capacity_t8_gold_item,itemspawnentry,1,weapon,Epic
252,resource_item_paint_stack_10,itemspawnentry,10,resource,None
253,muscle_car_wz_vehicle_red,itemspawnentry,unknown,vehicle,None
254,cu02_item,itemspawnentry,unknown,quest,None
255,melee_bowie_t8_item,itemspawnentry,1,weapon,Common
256,ar_standard_t8_item,itemspawnentry,1,weapon,Common
257,dart_wz_item,itemspawnentry,1,equipment,None
258,suv_wz_vehicle_private_security,itemspawnentry,unknown,vehicle,None
259,ray_gun_mk2z_t8_item,itemspawnentry,1,weapon,Common
260,sig_blade_wz_item,itemspawnentry,1,weapon,Common
261,ar_stealth_t8_operator_item,itemspawnentry,1,weapon,Legendary
262,perk_item_lightweight,itemspawnentry,1,generic,None
263,cu22_item,itemspawnentry,unknown,quest,None
264,pistol_burst_t8_item,itemspawnentry,1,weapon,Common
265,suv_police_wz_vehicle,itemspawnentry,unknown,vehicle,None
266,ar_fastfire_t8_operator_item,itemspawnentry,1,weapon,Legendary
267,hw_event_item_wb,itemspawnentry,unknown,quest,None
268,cu28_item,itemspawnentry,unknown,quest,None
269,lmg_stealth_t8_item,itemspawnentry,1,weapon,Common
270,blundergat_wz_item,itemspawnentry,1,weapon,None
271,muscle_car_wz_vehicle_phantom,itemspawnentry,unknown,vehicle,None
272,pistol_revolver_t8_item,itemspawnentry,1,weapon,Common
273,ray_gun_t8_item,itemspawnentry,1,weapon,Common
274,perk_item_engineer,itemspawnentry,1,generic,None
275,motorcycle_wz_vehicle_metal_grey,itemspawnentry,unknown,vehicle,None
276,hw_event_item_th,itemspawnentry,unknown,quest,None
277,helicopter_attack_wz_vehicle_grey,itemspawnentry,unknown,vehicle,None
278,extbarrel_wz_item,itemspawnentry,unknown,attachment,None
279,cu07_item,itemspawnentry,unknown,quest,None
280,helicopter_light_wz_vehicle_tan,itemspawnentry,unknown,vehicle,None
281,ammo_type_762_double_item,itemspawnentry,100,ammo,None
282,motorcycle_wz_vehicle_white,itemspawnentry,unknown,vehicle,None
283,melee_actionfigure_t8_item,itemspawnentry,1,weapon,Common
284,ammo_type_50cal_double_item,itemspawnentry,60,ammo,None
285,hw_event_item_tod,itemspawnentry,unknown,quest,None
286,smg_fastburst_t8_wallbuy_item,itemspawnentry,1,weapon,Common
287,fav_wz_vehicle_blk,itemspawnentry,unknown,vehicle,None
288,sniper_powerbolt_t8_item,itemspawnentry,1,weapon,Common
289,perk_item_stimulant,itemspawnentry,1,generic,None
290,sniper_powersemi_t8_gold_item,itemspawnentry,1,weapon,Epic
291,helicopter_attack_wz_vehicle_dark,itemspawnentry,unknown,vehicle,None
292,armor_item_large,itemspawnentry,500,armor,None
293,tank_wz_vehicle_tan,itemspawnentry,unknown,vehicle,None
294,sniper_quickscope_t8_wallbuy_item,itemspawnentry,1,weapon,Common
295,smg_capacity_t8_wallbuy_item,itemspawnentry,1,weapon,Common
296,tr_midburst_t8_wallbuy_item,itemspawnentry,1,weapon,Common
297,sniperscope_wz_item,itemspawnentry,unknown,attachment,None
298,melee_secretsanta_t8_item,itemspawnentry,1,weapon,Common
299,foregrip_wz_item,itemspawnentry,unknown,attachment,Common
300,melee_amuletfist_t8_item,itemspawnentry,1,weapon,Common
301,smg_folding_t8_gold_item,itemspawnentry,1,weapon,Epic
302,pistol_fullauto_t8_item,itemspawnentry,1,weapon,Common
303,ray_gun_mk2_t8_item,itemspawnentry,1,weapon,Common
304,cu13_item,itemspawnentry,unknown,quest,None
305,smg_fastburst_t8_gold_item,itemspawnentry,1,weapon,Epic
306,fav_wz_vehicle_heroes,itemspawnentry,unknown,vehicle,None
307,armor_item_small,itemspawnentry,500,armor,None
308,sniper_fastrechamber_t8_operator_item,itemspawnentry,1,weapon,Legendary
309,ar_accurate_t8_gold_item,itemspawnentry,1,weapon,Epic
310,lmg_spray_t8_operator_item,itemspawnentry,1,weapon,Legendary
311,lmg_spray_t8_gold_item,itemspawnentry,1,weapon,Epic
312,shotgun_pump_t8_gold_item,itemspawnentry,1,weapon,Epic
313,ammo_type_9mm_item,itemspawnentry,50,ammo,None
314,ar_damage_t8_gold_item,itemspawnentry,1,weapon,Epic
315,acog_plus_wz_item,itemspawnentry,unknown,attachment,None
316,quad_wz_vehicle_green,itemspawnentry,unknown,vehicle,None
317,ar_stealth_t8_item,itemspawnentry,1,weapon,Common
318,ar_peacekeeper_t8_item,itemspawnentry,1,weapon,Common
319,hw_event_item_jk,itemspawnentry,unknown,quest,None
320,tr_powersemi_t8_gold_item,itemspawnentry,1,weapon,Epic
321,health_item_squad,itemspawnentry,1,health,Common
322,cu21_item,itemspawnentry,unknown,quest,None
323,perk_item_bloody_tracker,itemspawnentry,1,generic,None
324,trip_wire_wz_item,itemspawnentry,4,equipment,None
325,tr_longburst_t8_item,itemspawnentry,1,weapon,Common
326,perk_item_ironlungs,itemspawnentry,1,generic,None
327,ar_damage_t8_item,itemspawnentry,1,weapon,Common
328,cu33_item,itemspawnentry,unknown,quest,None
329,ammo_type_762_item,itemspawnentry,50,ammo,None
330,ww_winters_fury_t8_item,itemspawnentry,1,weapon,Common
331,smg_accurate_t8_wallbuy_item,itemspawnentry,1,weapon,Common
332,motorcycle_wz_vehicle_tan,itemspawnentry,unknown,vehicle,None
333,unknown,unknown,0,unknown,unknown
334,unknown,unknown,0,unknown,unknown
335,unknown,unknown,0,unknown,unknown
336,unknown,unknown,0,unknown,unknown
337,unknown,unknown,0,unknown,unknown
338,unknown,unknown,0,unknown,unknown
339,unknown,unknown,0,unknown,unknown
340,unknown,unknown,0,unknown,unknown
341,unknown,unknown,0,unknown,unknown
342,unknown,unknown,0,unknown,unknown
343,unknown,unknown,0,unknown,unknown
344,unknown,unknown,0,unknown,unknown
345,unknown,unknown,0,unknown,unknown
346,unknown,unknown,0,unknown,unknown
347,unknown,unknown,0,unknown,unknown
348,unknown,unknown,0,unknown,unknown
349,unknown,unknown,0,unknown,unknown
350,unknown,unknown,0,unknown,unknown
351,unknown,unknown,0,unknown,unknown
352,unknown,unknown,0,unknown,unknown
353,unknown,unknown,0,unknown,unknown
354,unknown,unknown,0,unknown,unknown
355,unknown,unknown,0,unknown,unknown
356,unknown,unknown,0,unknown,unknown
357,unknown,unknown,0,unknown,unknown
358,unknown,unknown,0,unknown,unknown
359,unknown,unknown,0,unknown,unknown
360,unknown,unknown,0,unknown,unknown
361,unknown,unknown,0,unknown,unknown
362,unknown,unknown,0,unknown,unknown
363,unknown,unknown,0,unknown,unknown
364,unknown,unknown,0,unknown,unknown
365,unknown,unknown,0,unknown,unknown
366,unknown,unknown,0,unknown,unknown
367,unknown,unknown,0,unknown,unknown
368,unknown,unknown,0,unknown,unknown
369,unknown,unknown,0,unknown,unknown
370,unknown,unknown,0,unknown,unknown
371,unknown,unknown,0,unknown,unknown
372,unknown,unknown,0,unknown,unknown
373,unknown,unknown,0,unknown,unknown
374,unknown,unknown,0,unknown,unknown
375,unknown,unknown,0,unknown,unknown
376,unknown,unknown,0,unknown,unknown
377,unknown,unknown,0,unknown,unknown
378,unknown,unknown,0,unknown,unknown
379,unknown,unknown,0,unknown,unknown
380,unknown,unknown,0,unknown,unknown
381,unknown,unknown,0,unknown,unknown
382,unknown,unknown,0,unknown,unknown
383,unknown,unknown,0,unknown,unknown
384,unknown,unknown,0,unknown,unknown
385,unknown,unknown,0,unknown,unknown
386,unknown,unknown,0,unknown,unknown
387,unknown,unknown,0,unknown,unknown
388,unknown,unknown,0,unknown,unknown
389,unknown,unknown,0,unknown,unknown
390,unknown,unknown,0,unknown,unknown
391,unknown,unknown,0,unknown,unknown
392,unknown,unknown,0,unknown,unknown
393,unknown,unknown,0,unknown,unknown
394,unknown,unknown,0,unknown,unknown
395,unknown,unknown,0,unknown,unknown
396,unknown,unknown,0,unknown,unknown
397,unknown,unknown,0,unknown,unknown
398,unknown,unknown,0,unknown,unknown
399,unknown,unknown,0,unknown,unknown
400,unknown,unknown,0,unknown,unknown
401,unknown,unknown,0,unknown,unknown
402,unknown,unknown,0,unknown,unknown
403,unknown,unknown,0,unknown,unknown
404,unknown,unknown,0,unknown,unknown
405,unknown,unknown,0,unknown,unknown
406,unknown,unknown,0,unknown,unknown
407,unknown,unknown,0,unknown,unknown
408,unknown,unknown,0,unknown,unknown
409,unknown,unknown,0,unknown,unknown
410,unknown,unknown,0,unknown,unknown
411,unknown,unknown,0,unknown,unknown
412,unknown,unknown,0,unknown,unknown
413,unknown,unknown,0,unknown,unknown
414,unknown,unknown,0,unknown,unknown
415,unknown,unknown,0,unknown,unknown
416,unknown,unknown,0,unknown,unknown
417,unknown,unknown,0,unknown,unknown
418,unknown,unknown,0,unknown,unknown
419,unknown,unknown,0,unknown,unknown
420,unknown,unknown,0,unknown,unknown
421,unknown,unknown,0,unknown,unknown
422,unknown,unknown,0,unknown,unknown
423,unknown,unknown,0,unknown,unknown
424,unknown,unknown,0,unknown,unknown
425,unknown,unknown,0,unknown,unknown
426,unknown,unknown,0,unknown,unknown
427,unknown,unknown,0,unknown,unknown
428,unknown,unknown,0,unknown,unknown
429,unknown,unknown,0,unknown,unknown
430,unknown,unknown,0,unknown,unknown
431,unknown,unknown,0,unknown,unknown
432,unknown,unknown,0,unknown,unknown
433,unknown,unknown,0,unknown,unknown
434,unknown,unknown,0,unknown,unknown
435,unknown,unknown,0,unknown,unknown
436,unknown,unknown,0,unknown,unknown
437,unknown,unknown,0,unknown,unknown
438,unknown,unknown,0,unknown,unknown
439,unknown,unknown,0,unknown,unknown
440,unknown,unknown,0,unknown,unknown
441,unknown,unknown,0,unknown,unknown
442,unknown,unknown,0,unknown,unknown
443,unknown,unknown,0,unknown,unknown
444,unknown,unknown,0,unknown,unknown
445,unknown,unknown,0,unknown,unknown
446,unknown,unknown,0,unknown,unknown
447,unknown,unknown,0,unknown,unknown
448,unknown,unknown,0,unknown,unknown
449,unknown,unknown,0,unknown,unknown
450,unknown,unknown,0,unknown,unknown
451,unknown,unknown,0,unknown,unknown
452,unknown,unknown,0,unknown,unknown
453,unknown,unknown,0,unknown,unknown
454,unknown,unknown,0,unknown,unknown
455,unknown,unknown,0,unknown,unknown
456,unknown,unknown,0,unknown,unknown
457,unknown,unknown,0,unknown,unknown
458,unknown,unknown,0,unknown,unknown
459,unknown,unknown,0,unknown,unknown
460,unknown,unknown,0,unknown,unknown
461,unknown,unknown,0,unknown,unknown
462,unknown,unknown,0,unknown,unknown
463,unknown,unknown,0,unknown,unknown
464,unknown,unknown,0,unknown,unknown
465,unknown,unknown,0,unknown,unknown
466,unknown,unknown,0,unknown,unknown
467,unknown,unknown,0,unknown,unknown
468,unknown,unknown,0,unknown,unknown
469,unknown,unknown,0,unknown,unknown
470,unknown,unknown,0,unknown,unknown
471,unknown,unknown,0,unknown,unknown
472,unknown,unknown,0,unknown,unknown
473,unknown,unknown,0,unknown,unknown
474,unknown,unknown,0,unknown,unknown
475,unknown,unknown,0,unknown,unknown
476,unknown,unknown,0,unknown,unknown
477,unknown,unknown,0,unknown,unknown
478,unknown,unknown,0,unknown,unknown
479,unknown,unknown,0,unknown,unknown
480,unknown,unknown,0,unknown,unknown
481,unknown,unknown,0,unknown,unknown
482,unknown,unknown,0,unknown,unknown
483,unknown,unknown,0,unknown,unknown
484,unknown,unknown,0,unknown,unknown
485,unknown,unknown,0,unknown,unknown
486,unknown,unknown,0,unknown,unknown
487,unknown,unknown,0,unknown,unknown
488,unknown,unknown,0,unknown,unknown
489,unknown,unknown,0,unknown,unknown
490,unknown,unknown,0,unknown,unknown
491,unknown,unknown,0,unknown,unknown
492,unknown,unknown,0,unknown,unknown
493,unknown,unknown,0,unknown,unknown
