name,type,readonly,offset,size,weaponType,getter
lockonmaxrangenolineofsight,int,true,0x0,0x0,invalid,BlackOps4.exe+6c1180
lockonspeed,int,true,0x0,0x0,invalid,BlackOps4.exe+6c11a0
ammocountequipment,int,true,0x0,0x0,invalid,BlackOps4.exe+6c11c0
gadget_powermax,int,true,0x0,0x0,invalid,BlackOps4.exe+6c11e0
pickupsound,int,true,0x0,0x0,def,BlackOps4.exe+6c1200
pickupsoundplayer,int,true,0x0,0x0,def,BlackOps4.exe+6c1270
var_7d4c12af,int,true,0x568,0x4,properties,BlackOps4.exe+6c1380
var_d98594b2,int,true,0x56c,0x4,properties,BlackOps4.exe+6c1420
var_38eb7f9e,int,true,0x224,0x4,properties,BlackOps4.exe+6c14c0
var_ea8434c8,int,true,0x0,0x0,def,BlackOps4.exe+6c1a30
var_f06a2fee,int,true,0x0,0x0,def,BlackOps4.exe+6c1a60
var_bbc8dbc,int,true,0x0,0x0,def,BlackOps4.exe+6c1ac0
var_a1252254,int,true,0x0,0x0,def,BlackOps4.exe+6c1b50
var_7d24272c,int,true,0x0,0x0,def,BlackOps4.exe+6c1bc0
var_f857d6a0,float,true,0x630,0x4,properties,BlackOps4.exe+6c1be0
var_7b0ea85,float,true,0x634,0x4,properties,BlackOps4.exe+6c1c00
