0 physpreset | 1F2611E6840 | 1632331840B 498/498
32 scriptparsetreeforced | 1F260D0AEB0 | 1624289032B 2000/498
33 keyvaluepairs | 1F260D13E88 | 1624353032B 2000/498
34 vehicle | 1F260D1A908 | 1624433032B 12/498
35 tracer | 1F260D2E2A0 | 1624433512B 64/498
36 surfacefxtable | 1F260D2E488 | 1624435560B 128/498
37 surfacesounddef | 1F260D35428 | 1625293672B 100/498
38 footsteptable | 1F260E02960 | 1625315272B 116/498
39 entityfximpacts | 1F260E07F28 | 1625354248B 512/498
3a entitysoundimpacts | 1F260E316F8 | 1625690120B 32/498
3b zbarrier | 1F260E617D8 | 1625736840B 256/498
3c vehiclefxdef | 1F260E72308 | 1625888392B 256/498
3d vehiclesounddef | 1F260EA75D8 | 1626187400B 16/498
3e typeinfo | 1F260EDC608 | 1626208904B 32/498
3f scriptbundle | 1F260EDFE68 | 1626240648B 32/498
40 scriptbundlelist | 1F260EEA6E8 | 0B 0/0
41 rumble | 0 | 1626372744B 5200/498
42 bulletpenetration | 1F260F41F88 | 1626705544B 150/498
43 locdmgtable | 1F260F59F08 | 1626710344B 256/498
44 aimtable | 1F260F5CCE0 | 1626728776B 1/498
45 shoottable | 0 | 1626729272B 1/498
46 playerglobaltunables | 0 | 1626729376B 12/498
47 animselectortable | 1F260F5F200 | 1626739168B 12/498
48 animmappingtable | 1F260F611E0 | 1626751360B 8/498
49 animstatemachine | 1F260F69248 | 1626784448B 64/498
4a behaviortree | 1F260F6C400 | 1626786496B 64/498
4b behaviorstatemachine | 1F260F6CCA0 | 1626788544B 64/498
4c ttf | 1F260F6D500 | 1626792640B 64/498
4d sanim | 1F260F6E440 | 1626795712B 128/498
4e lightdescription | 1F260F6EFC0 | 1626799808B 48/498
4f shellshock | 1F260F70370 | 1626803648B 1024/498
50 statuseffect | 1F260F71360 | 1626926528B 600/498
51 cinematic_camera | 1F260FDB8F0 | 1627296128B 64/498
52 cinematic_sequence | 1F260FEA800 | 1627308416B 100/498
53 spectate_camera | 1F260FF1020 | 1627367616B 96/498
54 xcam | 1F260FFB7C0 | 1627379136B 64/498
55 bgcache | 1F260FFD700 | 1627381184B 6/498
56 texturecombo | 1F260FFDDE0 | 1627381376B 1024/498
57 flametable | 1F261008500 | 1627577984B 32/498
58 bitfield | 1F26102DF80 | 1627579008B 16/498
59 maptable | 1F26102E5A0 | 1627581568B 16/498
5a maptablelist | 1F26102EC80 | 1627590784B 75/498
5b maptableloadingimages | 1F261031670 | 1627593784B 25/498
5c maptablepreviewimages | 1F261031F38 | 1627594984B 2/498
5d maptableentrylevelassets | 0 | 1627595272B 25/498
5e objective | 1F261032460 | 1627596272B 25/498
5f objectivelist | 1F261032780 | 1627597272B 4/498
60 navmesh | 1F261032AA8 | 1627597688B 256/498
61 navvolume | 1F261032C88 | 1627667320B 64/498
62 laser | 1F261043BB8 | 1627669368B 2/498
63 beam | 1F2610443F0 | 1627669608B 2/498
64 streamerhint | 1F2610444B8 | 1627669768B 50/498
65 flowgraph | 1F261044670 | 1627675768B 65/498
66 postfxbundle | 1F2610544F8 | 1627756368B 50/498
67 luafile | 1F261059A50 | 1627758768B 128/498
68 luafiledebug | 1F26105A0B0 | 1627780416B 512/498
69 renderoverridebundle | 1F2610600A0 | 1627828544B 5000/498
6a staticlevelfxlist | 1F261076680 | 1627988544B 5000/498
6b triggerlist | 1F261092240 | 1627809088B 128/498
6c playerroletemplate | 1F261068D08 | 1628148544B 2/498
6d playerrolecategorytable | 1F2610B9370 | 1628148640B 2/498
6e playerrolecategory | 1F2610B93F0 | 1628148800B 256/498
6f characterbodytype | 1F2610C65F0 | 1628261440B 4/498
70 playeroutfit | 1F2610D4C60 | 1628261568B 10/498
71 gametypetable | 1F2610D4EA0 | 1628262528B 256/498
72 feature | 1F2610DF068 | 1628350592B 640/498
73 featuretable | 1F26110F680 | 1628516864B 8/498
74 unlockableitem | 1F2611132A0 | 1628514432B 1/498
75 unlockableitemtable | 1F261112880 | 1628514464B 100/498
76 entitylist | 1F2611128B8 | 1628517184B 1024/498
77 playlists | 1F26113BFC0 | 1628844864B 4/498
78 playlistglobalsettings | 1F2611633E0 | 1628845184B 2/498
79 playlistschedule | 1F2611634A0 | 1628845248B 6/498
7a motionmatchinginput | 1F261163510 | 1628845728B 4/498
7b blackboard | 1F2611636C8 | 1628845888B 4/498
7c tacticalquery | 1F2611637B0 | 1628846112B 64/498
7d playermovementtunables | 1F261164068 | 1628873248B 1/498
7e hierarchicaltasknetwork | 0 | 1628873280B 128/498
7f ragdoll | 1F2611719B0 | 1629059648B 128/498
80 storagefile | 1F261197CE0 | 1629071936B 64/498
81 storagefilelist | 1F26119AC00 | 1629073984B 32/498
82 charmixer | 1F2611A1000 | 1629169984B 48/498
83 storeproduct | 1F2611B38A0 | 1629174592B 2/498
84 storecategory | 0 | 1629174656B 10/498
85 storecategorylist | 1F2611B3B80 | 1629174896B 96/498
86 rank | 1F2611B7708 | 1629194096B 16/498
87 ranktable | 1F2611B8BA8 | 1629195248B 4/498
88 prestige | 1F2611B8C50 | 1629195376B 256/498
89 prestigetable | 1F2611BE5B0 | 1629224048B 10/498
8a firstpartyentitlement | 1F2611BFD10 | 1629224368B 256/498
8b firstpartyentitlementlist | 1F2611C24F0 | 1629240752B 10/498
8c entitlement | 1F2611C3E70 | 1629241072B 64/498
8d entitlementlist | 1F2611C4238 | 1629243632B 4/498
8e sku | 1F2611C4930 | 1629243760B 64/498
8f labelstore | 1F2611C5E10 | 1629249904B 4/498
90 labelstorelist | 1F2611C61B0 | 1629250032B 64/498
91 cpu_occlusion_data | 1F2611C6220 | 1629251568B 8/498
92 lighting | 1F2611C6830 | 1629251824B 4/498
93 streamerworld | 1F2611C6930 | 1629251952B 4/498
94 talent | 1F2611C6A30 | 1629252336B 2/498
95 playertalenttemplate | 1F2611C6CE8 | 1629253344B 2/498
96 playeranimation | 1F2611C6EE0 | 1629253856B 256/498
97 <unused> | 1F2611CAB60 | 1629333728B 64/498
98 terraingfx | 1F2611DA9A0 | 1629336800B 4/498
99 highlightreelinfodefines | 1F2611DB540 | 0B 0/0
9a highlightreelprofileweighting | 0 | 1629337184B 2/498
9b highlightreelstarlevels | 1F2611DB718 | 1629337552B 6/498
9c dlogevent | 1F2611DB7F8 | 1629337792B 6/498
9d rawstring | 1F2611DB8C0 | 1629337984B 6/498
9e ballisticdesc | 1F2611DB9A0 | 1629338176B 320/498
9f streamkey | 1F2611E2F80 | 1629374016B 256/498
a0 rendertargets | 1F2611E4C40 | 1629380160B 64/498
a1 drawnodes | 1F2611E5FA8 | 1629382720B 40960/498
a2 grouplodmodel | 1F2612407B0 | 1632331840B 2/498
a3 fxlibraryvolume | 1F2614B6860 | 1632331904B 2/498
a4 arenaseasons | 1F2614B68A0 | 1632331968B 4096/498
a5 sprayorgestureitem | 1F2614B68F0 | 1632528576B 20/498
a6 sprayorgesturelist | 1F2614E68C0 | 1632602176B 4/498
a7 hwplatform | 1F2614F88E8 | 1632602400B 2048/498
